id,date,user,text
1250850847040221184,2020-04-16 18:17:36,Servants_Scions,"The boy shed a few anger-filled tears, causing them to streak down his aristocratic face.

 It was dark, and hopefully his captor did not see them. The sadistic ᴍᴏɴꜱᴛᴇʀ... Would probably take pleasure in seeing him like this."
1250849767808208903,2020-04-16 18:13:18,SRGEEK2012,"@SenTomCotton Big talk from a guy that will not face one shot fired in anger
Will not suffer the loss of one family member

WE ATTACK IN FULL FORCE OR DONT ATTACK AT ALL. YOU WILL NOT BE ABLE TO BEGUILE THE DEVIL CHICOMS WITH POLITICAL PRESSURE."
1250847948537298945,2020-04-16 18:06:05,112sports_,@jaymccutcheo89 @Kingi6ix Well there are no sports being played and this is news. None of us know any of the people's videos we share or follow in some instances. I don't think Buble's face in the video says anything like gentle nudge. I don't show my teeth in anger in gentle nudges mate. https://t.co/2aN3Lv25mx
1250847581657198592,2020-04-16 18:04:37,cherielime,"@linwithane i cant really remember whether dumbledore ""let sirius die"" in fifth book or not but harry's anger and meltdown in his office where he broke his stuff and throw things to his face feel right for me and oddly satisfying although it was really heart breaking and a fucking low blow."
1250842459334156288,2020-04-16 17:44:16,Slopiegal,"Congress2 the ground&amp;-with his decision to fuc* the W.H.O. ,face a world of anger, criticism, disbelief-all directed at him-and not blink! He is able to go against most Americans,most countries with his blindness to consequences-&amp; annul all financial aid, in one minute. Soulless."
1250841027067498497,2020-04-16 17:38:35,SchMieke,"@SuMoh7 @DavidKlion @SeanMcElwee If you dont kiss the bros white, male savior's behind, youre not a progressive.
Let's face it, there's literally nothing progressive about this male anger and resentment."
1250840173773860864,2020-04-16 17:35:11,SevenShepherd,"""Hide not thy face [far] from me; put not thy servant away in anger: thou hast been my help; leave me not, neither forsake me, O God of my salvation."" ~Psalms 27:9 #God #Poetry #Bible"
1250836777897611264,2020-04-16 17:21:41,midnightxziam,"@lovelyyystyles I mean the anger on Lou's face damn , should've been a drama major 😂😂"
1250836692698910720,2020-04-16 17:21:21,FoxMcCloud_747,"@DarkFoxMcCloud ""What do you mean by that? ..."" 

* he grips his hands and the anger shows on his face *"
1250832163513253889,2020-04-16 17:03:21,MANIPULATlNGS,"“Just kill me, then. Get your anger out. It’s a real shame Salem didn’t die. I would have liked to see the look on your face when you found him dead.” https://t.co/ABYkmmnO4U"
1250831393719906306,2020-04-16 17:00:18,szkkruppe,"@sachihirayama @valkyrie_hermit @washingtonpost ""I think LDP will win.""
Ha dream on. At this rate, come the next general election, LDP will lose landslide. Their recent about-face on 100,000 yen stimulus payment betrays their well deserved fear. They are scared shitless of people's anger. They should."
1250827799100866567,2020-04-16 16:46:01,MatOlobayo,@FRSCNigeria Anger management should be further inculcated in the training of field officers. That wild officer must be a wife beater..check! However that woman must not be turned into a heroine. She has to face the music she started.  Corps members deserve respect . God bless the FRSC.
1250827580636147712,2020-04-16 16:45:09,BiggBossTw,"The anger on her face when she got protective about him. 
The satisfaction on his face when she stood up for not just herself, but him as well. 

Maybe this is what love is all about. ♥️

#KaviLiya ⚫
#Kavin
#Losliya
#EllarumNallaIrupom https://t.co/Ujeoqp0V6f"
1250826802727022593,2020-04-16 16:42:03,trafficbutter,Hunger and anger are building in Lagos and other major African cities with little or no social safety net to protect the poor from the economic fallout of the COVID-19 pandemic https://t.co/7VZtRTPELh https://t.co/ZU61TJggtu https://t.co/uQ8lKlt6Ub VIA @Reuters
1250823805469106182,2020-04-16 16:30:09,Stephleesi,I tried to bully Zucker off my island by hitting him on the head. It completely backfired. You can even see the anger on my face. https://t.co/5auU2LTtlZ
1250823723961245696,2020-04-16 16:29:49,diana0348,"@victoriac_19 He’s an angry abuser, look at that face of seething anger"
1250823721885011970,2020-04-16 16:29:49,leehayhurst,"Agents on the COVID-19 travel frontline: This is horrible to read, and all the more important travel agents don't just get tarred with the same brush as firms that aren't properly engaging with and doing their best to help their customers. @travelweekly 

https://t.co/Lkeny5ZJn2"
1250823062326517762,2020-04-16 16:27:11,ErickJohnPrice1,"Stay strong @GovWhitmer in the face of anger and ignorance.
#TrumpOwnsEveryDeath https://t.co/vCZg6eNGqc"
1250822510444249100,2020-04-16 16:25:00,Reuters,Hunger and anger are building in Lagos and other major African cities with little or no social safety net to protect the poor from the economic fallout of the COVID-19 pandemic https://t.co/Ib8efj9Mkf https://t.co/emWFyntGdR
1250821215264157698,2020-04-16 16:19:51,QuoteOrThought,"Life is short, live it. Love is rare, grab it. Anger is bad, dump it. Fear is awful, face it. Memories are sweet, cherish them."
1250815901399691264,2020-04-16 15:58:44,intolevide,"She’s shocked, shaking in anger— not at him, fucking Olivia. She couldn’t help but to close her eyes and hide her face. 

    “What the fuck is happening?” 

 Hide the tears. 

   “I don’t know how to feel...” https://t.co/os2BA1AK94"
1250814226282807297,2020-04-16 15:52:05,PeacetofferKris,The level of anger I felt in Tesco there was off the charts. Wasn’t even busy and I had folk right in my face at the shelves! 2 metres apart doesn’t seem to click with some cunts
1250811727723323394,2020-04-16 15:42:09,Chillologists,Yo please don’t yell at me in my face I got anger issues ima pop off
1250811688212807681,2020-04-16 15:42:00,DemxnKixg,"Was he seeing this right? It must have been unbelievable for him that his upper moon would do such things, His face would only give a disappointed look before it being turned into anger, just anger. 

    ❝︎What the 𝘏𝘌𝘓𝘓 𝘋𝘖 𝘠𝘖𝘜 𝘛𝘏𝘐𝘕𝘒 𝘠𝘖𝘜 𝘈𝘙𝘌 𝘋𝘖𝘐𝘕𝘎?❞︎ https://t.co/YlK5LhZkDU"
1250811443915698176,2020-04-16 15:41:01,bigdaddypateI,@KevinOmega619 @kyla_beeell28 @blicktargaryen you can say it’s a very small number until you’re blue in the face but do y’all ever check your black male counterparts for disrespecting black women? or do y’all just take your anger out on black women for “generalizing”???
1250811184585904128,2020-04-16 15:40:00,squishiisms,"@citronicvoltage ( the man thrashed about--a low growl as he tried to fight off the immense brainwashing. writhing in pain,  and anger, unsuccessfully getting the device off. arms go limp, face loses any ounce of emotion, and glasses cover up fogged eyes. )

[ awaiting orders. ]"
1250808911994765312,2020-04-16 15:30:58,TharealLolaB,"the girls with the most body shaming jokes, the most Anger toward people, the most MEAN things to say in general have the LOWEST SELF ESTEEM and (if not already) almost hate themselves , their bodies, their face, their features and I’m so sorry that u don’t know how to love u 💔"
1250808548742664196,2020-04-16 15:29:31,mohakanari,"@IshitaYadav @Klaatu____ He was doing exercises weekly,
from Night time gyms in Thailand!!! 
Now it can't!!!
His face expression shows
his anger not against Kovid-19,
but against Modi,
for the restrictions to him to visit Thailand!!!"
1250808441171476480,2020-04-16 15:29:05,BooBooRx,"You look that picture on the right.. We has seen a expression of hatred or anger or disgust like that on any other president?  His mind &amp; feelings is show on the face &amp; in the eyes. 
I fear much darkness is there."
1250807265462026241,2020-04-16 15:24:25,MsMainstreamVM,"Had a full on screaming freak out where I just let all my anger out, full on started to hit myself in the face. No wonder people think I'm a freak."
1250806950692032512,2020-04-16 15:23:10,KyrianChiemelie,"I saw her throbbing teary face and the clothes that surrounded her.

She whispered.

""I am hiding in the wardrobe. He is searching for me. Look at my face, look at what he did to my face.""

I heard him in the background.

It was muffled but filled with anger."
1250805887716995074,2020-04-16 15:18:57,LBlackdagger,"Was it a new strategy to intimidate her? 
What was he playing at?
-Yes it is fun indeed ... she is a funny person, Miss Round Face. - he continued amused, and his cheeks at that point began to swell with anger. 
""Him and his stupid childhood nicknames."""
1250805502432419845,2020-04-16 15:17:25,chriswwright1,"Remember, 

Life is short, live it. Love♥️ is rare, grab it. Anger is bad, dump it. Fear is awful, face it. Memories are sweet, cherish it!"
1250805069227806721,2020-04-16 15:15:41,strawberribuns,"My friend felt my face yesterday and was concerned because he thought i had a fever. Actually, that’s just all the anger and rage boiling inside me"
1250802847605641217,2020-04-16 15:06:52,Chelle_Shocker,"@KashJackson2018 @fins71 If you keep the anger for mom out of your relationship with children they will grow up knowing you love them &amp; you will see that there is happiness at the end of every hard path we face. 
My prayers are with you &amp; my DMs open if you need a shoulder.  
Hang in there."
1250800878505783296,2020-04-16 14:59:02,vjsupetranx,"Life is short, Live it.
Love is rare, grabe it.
Anger is bad, dump it.
Fear is awful, face it.
Memories are sweet, cherish it."
1250800586884296705,2020-04-16 14:57:53,kdrabinski,"I couldn't stop crying this morning, big ol' tears running down my face. It's just one of those days--nothing particularly terrible. Meeting virtually with a small group of students to talk about anger and how we can and can't use it politically and the tears have dried up."
1250799063122898945,2020-04-16 14:51:50,mjaak_me,"Positivity doesn't mean that you dont face anger issues or stress. It means that whatever negativity you face, you heal from it fast.😌"
1250798370790260738,2020-04-16 14:49:04,chandnirei,"@Mimiification pushing ur face back to show a double chin isnt indicative of fatness!!!! hell, half the time ppl have double chins JUST BECAUSE, not bc theyre fat!!! thighs are also supposed to have fat ur not special @ them!!!
also these same ppl be fatphobic to other ppl and im so!!! anger!!!"
1250798340016570369,2020-04-16 14:48:57,memymomelly,@ananavarro I just feel anger and resentment when I see her face.
1250796887545909249,2020-04-16 14:43:11,trickstersona,"( With the force of the other's hand, he was knocked down for a moment; he allowed it to happen.

With a small smile on his face, he still keeps his eyes on Akechi, despite the anger Akechi had. Akira felt relax with a hint of pain, he held his cheek. )

It's only the truth . https://t.co/3QL1k6kd4R"
1250796786916241408,2020-04-16 14:42:47,ZafarAmin,"@AyeshaSelden @FlyGirlFlying It’s not your page, it’s a tweet. The anger. I love it. You would never say something lime that to my face. I know that."
1250795336202964992,2020-04-16 14:37:01,guymit,"@LouiseRawAuthor All that undischarged anger swells the face until it looks, well, like gammon!"
1250791978633252865,2020-04-16 14:23:40,DonBrumfield,"@jrivkin @ForRfb @realMikeLindell @DevinNunes Well cartoon face,I think I detect some anger in you! Is punctuation your only concern?  Maybe you should be more concerned with democrats wanting to trample the US Constitution! But commies like you want this to happen! You still haven’t been able to figure out who I am. Too bad"
1250787839819706368,2020-04-16 14:07:14,silentinvasions,"@globaltimesnews China's true face. 

When hundreds of thousands of people are dying from the #wuhanvirus maybe this kind of shotgun diplomacy is coming too soon. 

When the virus is over &amp; everyone counts their dead the world will turn their loss, anger and rage at you #China. 

#coronavirus"
1250785267331588098,2020-04-16 13:57:00,v_offspring,"It's been a hard day. I was hit with anger&amp; anxiety that brought me to tears and to a stand still until a lovely human sent me this meme. My sides hurt, tears are rolling down my face&amp;the laughter enveloped my soul. Everything will be alright #coronadiaries #lifelessons https://t.co/ECq30izONH"
1250784191152885762,2020-04-16 13:52:44,Diggythedig,"@DrSarahJarvis hey, you sounded down, on @theJeremyVine show, remember, the first person you look after in an emergency, is you, or how can you look after others. It takes it's  toll suppressing anger at stupid actions, putting a brave face on, when you too are suffering, be safe"
1250783304816693249,2020-04-16 13:49:12,demiileigh96,"@AshJackNation Seriously just because i helped you doesn't mean you lay your hands on  me.
Avanelle spoke tears streaming down her face in pure anger"
1250783098830229504,2020-04-16 13:48:23,Nanette04236538,@IngrahamAngle Telling people to ignore science and ethics is manslaughter- a criminal offense. Like shouting fire in a theater. Promoting fear and anger in the face of helpless people is inciting a mob. These are provable lies. You are a liar. Money cannot buy lives. Distancing saves lives.
1250781801158672385,2020-04-16 13:43:14,Chanel2414,@seanhannity What an anger face!
1250780664095375361,2020-04-16 13:38:43,RJ_RishiJain,"@arifaajakia @_sabanaqvi Anger &amp; frustration due to some expectations by some, is considered as hate crime. But how many #Hindus have exploded like the #Jihadi #Muslim #terrorists. You are #Muslim &amp; face anger only when you try to defend #Islamic #Jihadists acts of #Terrorism. But, max know you didn't
1n"
1250780199815430145,2020-04-16 13:36:52,ukkayode,@KhalidOshoke @FRSCNigeria are ur officers not suppose to put on protective gears(face mask &amp; hand gloves)? And why should the officer in that clip pull off plate number from the bumper with force and he went as far as throwin it away even if the lady in question errs. Anger management needed.
1250778858036424711,2020-04-16 13:31:32,A_J_Chua,"Kids, you may think that your only choices are to swallow your anger or throw it at someones face. But there's a third option, just let it go, and only when you do that is it really gone and you can move forward.
-Ted"
1250778043750264834,2020-04-16 13:28:18,alexandraallred,@GoofMcFloof @ReSista_Barb Not being funny but ... this is evidence of how hate and anger really does transform a face.
1250777221276540928,2020-04-16 13:25:02,jmonberg,"@StuartBlythe3 The anger behind the protests has been carefully stoked for decades. Irrational, immoral and because of that politically powerful. My heart has been with people immunocompromised now. To face that challengemust be awful."
1250776285305077761,2020-04-16 13:21:19,IamKasheba,Females in a Caribbean household face it rough Dawg... I’ve heard sooo many other girls story and it sound similar to mine... Caribbean moms have some built up anger in them you have to wonder where it was coming from
1250774866254532615,2020-04-16 13:15:41,cindyinpgi,@WEareQ_1776 Those who are still avoiding jumping over the fence to face the Dark are struggling to maintain their World As They Know It.  Avoidance &amp; Anger towards the Truth-teller = Punishing Patriots &amp; being Judgmental which they know is unChristian.  Their World is  in great Disarray.
1250767785069703169,2020-04-16 12:47:32,mriakashina,im so angry tonight and hoehoe keeps on licking my face... my anger melted.
1250767366172094465,2020-04-16 12:45:52,taegukmom,"watching them.

Jk laughs withouta humor again. Pain &amp; anger is written all over his face. The look in his eyes is something Yoongi has never seen ever since he lose his mother and he feels guilty because he knows he did this to his  best friend.

Jungkook roughly pulled his hand"
1250766043087171584,2020-04-16 12:40:37,TenzinT80802012,All of sudden that whole love he had for me change into hate and I don’t get it u he hate me thus so much as the issue we face is becoz of his own insecurities his own trust issue his own anger but he thinks I’m the reason and the one who is creating all this.
